phase,q,followup,followup_if,id,title,explanation,yes_answer,yes_icon,yes_explanation,yes_next,no_answer,no_icon,no_explanation,no_next,followup_box,info_box_header,info_box_content
2,Q2.1,Q2.0,y,Python,"Do you need help with <a href=""https://packaging.python.org/guides/installing-using-pip-and-virtual-environments/"" target=""_blank"">activating the environment</a> for version control of the package?",Explain <code>dodo.py</code>,Yes,img/yes.svg,I have activated it.,Phase_3,No,img/info.svg,I need help with it.,Phase_3,,,
2,Q2.2,,,,Does your project use R?,"<a href=""https://www.r-project.org/about.html"" target=""_blank"">R</a> is a programming language for statistical computing and graphics. If you are a beginning user of R, please visit the <a href=""https://github.com/ccs-amsterdam/r-course-material"" target=""_blank"">CCS GitHub page</a> for tutorials.",,,,,,,,,,,
2,Q2.3,Q2.2,y,R,Is it the first you will be working with the <em>packrat</em> package?,"<a href=""https://rstudio.github.io/packrat/"" target=""_blank""><em>packrat</em></a> is a dependency management system for R packages.",Yes,img/yes.svg,I need help with it.,Phase_3,No,img/info.svg,"I have installed <em>packrat</em> or worked with it before. </br> </br> You can find information about the <em>packrat</em> package <a href=""https://cran.r-project.org/web/packages/packrat/index.html"" target=""_blank"">here</a>, or you can visit the short online tutorial  <a href=""https://rstudio.github.io/packrat/"" target=""_blank"">here</a> to revisit some of the <em>packrat</em> principles.",Phase_3,,,
2,Q2.4,,,,Does your project use another – not open source – analysis language?,If you used SPSS/Stata/SAS/MatLab/Atlas TI or anything else.,Yes,img/yes.svg,Add what to do to make the compendium reproducible,,No,img/info.svg,,,y,Other programs and Compendium,Add what to do to make the compendium reproducible
2,Q2.5,Q2.4,y,Other_1,"Do you install any extensions when cleaning, processing and/or analyzing the data in your research project?","Proprietary data refers to any set of statistics, information, or documentation which is controlled solely by you or a third party. The data is typically protected by copyright law, trade secret laws, and even by patent agreement, in some cases.",Yes,img/yes.svg,I have installed extensions.,Extensions,No,img/info.svg,I have not installed any extensions.,Phase_3,,,
3,Q3.1,,,Work_alone,Are multiple researchers involved in this project?,"Regardless of whether you work alone or in a team, commit early, commit often: Don’t procrastinate with adding code or material to GitHub. At a minimum, push changes after every day, but ideally after every coherent change, even if it is work in progress.",Yes,img/individual.svg,"If you work together in a team, you also should commit early and often (see <a href=""https://git-scm.com/book/en/v2/Git-Basics-Recording-Changes-to-the-Repository"" target=""_blank"">here</a> and <a href=""https://git-scm.com/book/en/v2/Git-Basics-Viewing-the-Commit-History"" target=""_blank"">here</a>), but you additionally also need to take care of managing a project or even an orgainzation. That way you make sure that the work of everyone gets organized the right way and you can all collaborate on one folder structure. You can find information on this <a href=""https://git-scm.com/book/en/v2/GitHub-Maintaining-a-Project"" target=""_blank"">here</a> and <a href=""https://git-scm.com/book/en/v2/GitHub-Managing-an-organization"" target=""_blank"">here</a>.",Prop_data,No,img/group.svg,"If you work on a project on your own, it is very crucial that you commit the changes that you make to your project early and often. This way you can keep track of what you are doing, make sure no data or code is lost and have the ability to work on your project from anywhere. You can find more information on what that is and how to do it <a href=""https://git-scm.com/book/en/v2/Git-Basics-Recording-Changes-to-the-Repository"" target=""_blank"">here</a> and <a href=""https://git-scm.com/book/en/v2/Git-Basics-Viewing-the-Commit-History"" target=""_blank"">here</a>.",Prop_data,,,
3,Q3.2,,,Prop_data,Do you work with proprietary data?,The data that you used for your project is owned by an individual or organization and is important enough to give them a competitive advantage. This could for example be usage data from a social network site or text from newspaper articles. This data is not open to the public and you thus need to take extra measures before you make your GitHub public to not violate any laws. ,Yes,img/yes.svg,I work with proprietary data.,Encryption,No,img/info.svg,I do not work with proprietary data.,Encryption,,,
3,Q3.3,,,Encryption,Do you want to encrypt your data?,"Data encryption translates data into another form, or code, so that only people with access to a secret key (formally called a decryption key) or password can read it. Encrypted data is commonly referred to as ciphertext, while unencrypted data is called plaintext. Currently, encryption is one of the most popular and effective data security methods used by organizations. Source: <a href=""https://digitalguardian.com/blog/what-data-encryption"" target=""_blank"">The Guardian</a> </br></br> Your data should be encrypted if it is not possible to share your data openly, either because it is proprietary or because it includes sensitive information that cannot be made public as plain text. If you are not sure about matters of encryption and what data need to be encrypted, you should first consult the ethical board of your research institution. ",Yes,img/yes.svg,I want to encrypt my data. </br></br> Information on how to encrypt your data in your research compendium can be found by clicking on the button below.,Data_type,No,img/info.svg,Encryption is not needed for the type of data I work with. ,Data_type,,,"



"
3,Q3.4,,,Data_type,Does your project involve data processing or cleaning?,"Raw data is the data that you collected e.g. in your survey, your experiment, the data you scraped or retrieved from an API. There are many different forms of raw data - the important thing is that it has not been through any form of processing yet. It is crucial to preserve the raw data of your project if possible. Processed data is raw data that was modified by certain forms of data cleaning and processing such as dealing with missing values, making scales, aggregating data etc. In a research compendium, you should put the raw data in the ""raw"" folder (possibly encrypted).",Yes,img/raw-file.svg,I work with processed data. The follow-up question check whether the folder structure to make <b>Open Science Fun &amp Easy </b> offered by The Standardized Research Compendium is in tact.,Phase_4,No,img/process.svg,I work with the raw data. This means my paper/report does not produce any visualization or analysis of the data. Remember that data visualizations makes it easier to communicate your ideas and findings to other people. ,Functions,,,
3,Q3.5,Q3.4,y,Functions,Have you written functions yourself on which the data-processing or analysis depend?,"Often you use already existing functions (pieces of code to be reused) from packages. This is very common for example for R or Python. Sometimes, however, you will need your own specialized functions to deal with your data or do analyses. It is then important to preserve the code that you used in the compendium so that other researchers can re-run your analyses and adapt them where necessary.",Yes,img/yes.svg,I wrote functions myself.,Saved_Functions,No,img/info.svg,I did not write any functions myself.,Saved_data_cleaning,,,
3,Q3.6,Q3.5,y,Saved_Functions,Have you saved the functions in a script in the folder src/lib?,,Yes,img/yes.svg,I have saved them.,Saved_data_cleaning,No,img/info.svg,I did not save them.,Saved_data_cleaning,,,
3,Q3.7,Q3.4,y,Saved_data_cleaning,Have you saved the data cleaning / processing sripts that generate any intermediate or temporary data files needed by the analyses in src/data-processing?,,Yes,img/yes.svg,I have saved them.,Saved_analysis,No,img/info.svg,I did not save them.,Saved_analysis,,,
3,Q3.8,Q3.4,y,Saved_analysis,Have you saved the files that contain the actual analysis?,,Yes,img/yes.svg,I have saved them.,I have saved them.,No,img/info.svg,I have saved them.,I did not save them.,,,
3,Q3.9,Q3.4,y,Saved_datasets,Have you saved the finished data sets that are of general interest in results/datasets?,,Yes,img/yes.svg,I have saved them.,Saved_descriptions,No,img/info.svg,I did not save them.,Saved_descriptions,,,
3,Q3.10,Q3.4,y,Saved_descriptions,"Have you saved the written descriptions of results, i.e. a final paper in results/report?",,Yes,img/yes.svg,I have saved them.,Visualization,No,img/info.svg,I did not save them.,Visualization,,,
3,Q3.11,Q3.4,y,Visualization,Are your analyses in the paper visualized?,Graphs and charts let you explore and learn about the structure of the information you collect. Good data visualizations also make it easier to communicate your ideas and findings to other people. ,Yes,img/yes.svg,The results are visualized.,Saved_fig,No,img/info.svg,The results are not visualized.,Phase_4,,,
3,Q3.12,Q3.11,y,Saved_fig,Have you saved the figures in results/figures?,,Yes,img/yes.svg,I have saved them.,Phase_4,No,img/info.svg,I did not save them.,Phase_4,,,
4,Q4.2,,,Code_produce,"Does the code in your compendium produce all statistics, tables, figures, etc. in your manuscript?","Open science, i.e. “making the content and process of producing evidence and claims transparent and accessible to others” (Munafo et al., 2017, p. 5) improves the robustness of scientific research by contributing to reproducibility, replicability, and generalizability of findings.",Yes,img/yes.svg,"The code documented in the compendium produces everything.</br></br> To check this, run <code>git clone https://github.com/YOUR-USERNAME/YOUR-REPOSITORY</code>) followed by <code>doit</code>.",Refer_Compendium,No,img/info.svg,The code does not (yet) produce everything. Run <code>git clone https://github.com/YOUR-USERNAME/YOUR-REPOSITORY</code>) followed by <code>doit</code> and check where your code is not fully reproducible. ,Refer_Compendium,,,
4,Q4.3,,,Refer_Compendium,Does the manuscript refer to the Standardized Research Compendium article?,"We appreciate your use of our checklist! Please reference <a href=""#"" target=""_blank"">our article</a>.",Yes,img/yes.svg,"We appreciate your use of our checklist! Thank you for your reference <a href=""#"" target=""_blank"">our article</a>!",Other_computer,No,img/info.svg,Please reference our article: </br> <ul> <li>APA: </li>  <li>Chicago: </li> <li>Bibtex: </li> <li>Endnote: </li> </ul>,Other_computer,,,
4,Q4.4,,,Other_computer,"Did you have another person or another computer try to run the compendium, and checked the results?","At each major milestone or release, check your compendium by cloning it and running <code>doit</code> on a new computer or virtual server. Doing this ensures your scripts are fully reproducible, transparent and open.",Yes,img/yes.svg,I have checked my compendium by cloning it (<code>git clone https://github.com/YOUR-USERNAME/YOUR-REPOSITORY</code>) and running <code>doit</code> on a new computer or virtual server.,Encryption,No,img/info.svg,I did not check my scripts for my compendium on another computer. </br></br> Clone your compendium (<code>git clone https://github.com/YOUR-USERNAME/YOUR-REPOSITORY</code>) and run <code>doit</code> on a new computer or virtual server.,Encryption,,,
4,Q4.5,,,Anonymize_git,Did you anonymize your repository before submitting?,"Obviously, you are hiding your name in the text of the article. However, sending a link to your GitHub repository will make identity known to the revieweers, which, in turn, defeats the purpose of a blind review.",Yes,img/yes.svg,,,No,img/info.svg,"<a href=""http://anonymous.4open.science/"" target=""_blank"">Anonymous GitHub</a> is a system to anonymize Github repositories so you can refer to your online compendium during the double-blind paper submission process. ",,,,
